Country,Population,LogPopulation
Pakistan,239477758,8.379265183611002
Palau,17777,4.249858472417371
Palestine,5185289,6.714772966628155
Panama,4345360,6.638025762266137
Papua New Guinea,10012849,7.000557666783448
Paraguay,6684130,6.825044887919979
Peru,33155845,7.5205601006890115
Philippines,113100906,8.053466083875275
Poland,38040252,7.580243385285538
Portugal,10390906,7.016653416050578
Puerto Rico,3253158,6.51230515669156
Qatar,2814939,6.449468988085967
Reunion,868026,5.93853273380255
Romania,19248115,7.284388204744118
Russia,145836117,8.163865092372623
Rwanda,13355214,7.125650851419504
Saint Barthelemy,10749,4.031368062885773
Saint Helena,5378,3.730620797887283
Saint Kitts And Nevis,46738,4.669670124240467
Saint Lucia,178489,5.251611456378157
Saint Martin (French Part),29934,4.476164754322825
Saint Pierre And Miquelon,5757,3.760196229455134
Saint Vincent And The Grenadines,102797,5.011980440510842
Samoa,213745,5.329895964346141
San Marino,34546,4.538397768685742
Sao Tome And Principe,221926,5.346208185490504
Saudi Arabia,31328320,7.495937106203369
Senegal,17220821,7.23605385253402
Serbia,6835386,6.83476304457123
Seychelles,122951,5.089732065345706
Sierra Leone,8094551,6.908192763697114
Singapore,5546240,6.743998658682243
Sint Maarten (Dutch Part),41546,4.618529216771113
Slovakia,5442712,6.73581535432076
Slovenia,2113450,6.324991977747741
Solomon Islands,762546,5.8822660472891055
Somalia,17271386,7.237327190375753
South Africa,61502553,7.788893143918498
South America,428330745,8.631779248584351
South America (Excl. Brazil),220974576,8.344342309259464
South Korea,51848358,7.714735007150691
South Sudan,10865735,7.036059108995041
Spain,47735610,7.678842476664015
Sri Lanka,22700326,7.356032094152791
Sudan,48066876,7.681845897039204
Suriname,617863,5.790892188778336
Svalbard And Jan Mayen,2400,3.380211241711606
Sweden,10416075,7.0177040983332635
Switzerland,8706973,6.939867197730534
Syria,21628791,7.335032244048281
Taiwan,23558281,7.372143597683361
Tajikistan,9966868,6.99855870655519
Tanzania,62830365,7.798169582667164
Thailand,71727293,7.855684440798541
Togo,8878342,6.948331870341528
Tokelau,2193,3.341038631677523
Tonga,105450,5.023046584075505
Trinidad And Tobago,1487659,6.172503393985348
Tunisia,12048573,7.080935613307213
Turkey,86686206,7.937949995576651
Turkmenistan,7091984,6.850767747131989
Turks And Caicos Islands,45213,4.655263324557406
Tuvalu,10167,4.007192823557041
Uganda,45910886,7.661915673972688
Ukraine,44298591,7.646389912889965
United Arab Emirates,9789001,6.990738372873096
United Kingdom,67668749,7.830388147705297
United States,340161392,8.531685020055932
United States Virgin Islands,87184,4.9404367905600335
Upper-Middle-Income Countries,2826091728,9.451186253874084
Uruguay,3396643,6.531049903279341
Uzbekistan,34243658,7.534580150992261
Vanuatu,305836,5.48548860495183
Vatican,515,2.711807229041191
Venezuela,28237786,7.450830642603685
Vietnam,98935054,7.995350195150873
Wallis And Futuna,11544,4.062356318085437
Western Sahara,558577,5.74708304919755
World,7954448327,9.900610064957116
Yemen,37140180,7.569844004218444
Zambia,19603556,7.292334857637082
Zimbabwe,15797165,7.198579154338664
