Country,GDP_per_capita_PPP,Population,LogPopulation,TotalGDP,LogGDPperCapita,Life Expectancy Both,Life Expectancy Female,Life Expectancy Male,Urban Population Percentage,Urban Population Absolute,Population Density
Fiji,10685.197,916669,5.962212544586056,9794788848.793,4.0287825335402605,67.6,69.7,65.6,60.8,567088.0,51.0
Finland,57350.87,5541019,6.743589639346154,317782260336.53,4.7585400104383915,82.2,84.9,79.6,86.7,4874169.0,19.0
France,53901.11,66083491,7.820092977441706,3561973517575.0103,4.731597708821455,83.6,86.3,80.7,82.5,55018724.0,122.0
Gabon,18523.58,2376684,6.3759714424857385,44024696208.72,4.267724925326052,68.7,71.4,66.2,83.7,2171202.0,10.0
Gambia,2777.7961,2575965,6.410939957907444,7155505530.7365,3.443700363829668,66.3,68.0,64.5,61.3,1731095.0,279.0
Georgia,18915.654,3788400,6.578455827939842,71660063613.59999,4.27682136141946,74.8,79.4,69.9,62.0,2358908.0,55.0
Germany,62950.047,83697031,7.922710052459372,5268732035210.457,4.7989960586985765,81.7,84.0,79.4,76.5,64345635.0,241.0
Ghana,6607.503,32518607,7.512131933441997,214866793308.32098,3.820037368986215,65.9,68.4,63.5,58.6,20539206.0,154.0
Greece,33577.51,10579511,7.024465594456294,355233636397.61005,4.526048487116048,82.2,84.6,79.7,89.5,8897137.0,77.0
Grenada,15298.123,116645,5.066866127450825,1784449557.335,4.184638148415697,75.5,78.6,72.7,35.5,41685.0,345.0
Guatemala,11828.33,17598598,7.245478070932538,208162024681.34,4.072923432457039,72.9,75.2,70.6,56.6,10568383.0,174.0
Guinea,3738.8052,13710470,7.137052342820718,51260776530.444,3.572732838042967,61.1,62.3,59.8,40.3,6082701.0,61.0
Guinea-Bissau,2450.978,2058795,6.313613104849627,5046061251.51,3.389339413038499,64.4,66.7,62.0,46.2,1038474.0,80.0
Guyana,22865.932,815445,5.911394674141442,18645909919.74,4.359188907628273,70.4,74.2,66.7,26.6,222762.0,4.0
Haiti,3134.9502,11374546,7.055934071383689,35658635257.6092,3.4962306462713664,65.3,68.7,62.1,61.7,7343428.0,432.0
Honduras,6202.981,10289829,7.012408157563844,63827613780.249,3.792600450904158,73.2,75.9,70.6,58.3,6421078.0,98.0
Hong Kong,65884.94,7484547,6.874165519929057,493118930022.18,4.8187861547707564,85.8,88.4,83.1,0.0,0.0,44.0
Hungary,38648.0,9707794,6.987120552001421,375186822512.0,4.587127024478463,77.3,80.5,74.1,72.0,6937818.0,106.0
Iceland,62032.27,372597,5.571239353811188,23113037705.19,4.7926176739657995,83.2,84.6,81.8,84.0,334395.0,4.0
India,8050.0186,1414203840,9.150512012153156,11384367216191.424,3.9057968838297357,72.5,74.1,71.0,37.1,542742539.0,492.0
Indonesia,12757.074,276758010,8.442100199192888,3530622413662.74,4.105751074747691,71.4,73.6,69.3,59.6,170361295.0,158.0
Iran,14951.895,88455443,7.946724561860041,1322576495914.485,4.174696238539267,78.1,80.0,76.2,73.3,67760281.0,57.0
Iraq,12731.754,43071162,7.634186588581279,548371439078.148,4.104888238692707,72.5,74.3,70.6,72.4,34038857.0,108.0
Ireland,118102.766,5028387,6.701428694928134,593866413218.442,5.072260069031549,82.7,84.7,80.8,62.1,3294830.0,77.0
Israel,46238.223,8942868,6.951476820454329,413502324843.56396,4.665001135184884,82.8,84.8,80.7,91.4,8698204.0,440.0
Italy,50465.086,59729300,7.776187425044766,3014244261219.8003,4.702991017692176,84.0,86.0,81.9,72.0,42568771.0,201.0
Jamaica,9577.164,2837634,6.452956379130338,27176486189.976,3.9812369243715726,71.7,74.3,69.2,60.2,1706544.0,262.0
Japan,44549.34,125679288,8.099263711667922,5598929332069.92,4.648841274332909,85.0,88.0,82.0,93.1,114645589.0,338.0
Jordan,9182.496,11066310,7.044002831918587,101616347309.76,3.9629607478337423,78.1,80.5,76.1,85.1,9802267.0,130.0
Kazakhstan,32945.85,19743565,7.295425573867492,650468530955.25,4.517800716787108,74.7,78.6,70.4,55.1,11494249.0,8.0
Kenya,5338.8525,53219122,7.726067705358164,284129042537.505,3.727447922483501,64.0,66.3,61.8,31.9,18371967.0,101.0
