GDP_per_capita_PPP,Population,LogPopulation,TotalGDP,LogGDPperCapita
2144.1665,40000360,7.602063899960711,85767431899.93999,3.3312585064048905
16353.809,2849591,6.454782530468232,46601666942.118996,4.2136189212178214
14496.865,44761051,7.650900275312562,648894913605.115,4.16127409462075
59332.203,78328,4.893917037559422,4647372796.584,4.773290473956557
7408.1265,34532382,7.538226536466343,255820254202.323,3.8697083896812887
25733.295,92316,4.965276978485372,2375594861.22,4.41049539867433
26300.273,45312226,7.656215397773324,1191723914037.698,4.419960256542161
15921.705,2870293,6.457926231851837,45699958409.565,4.201989572977212
35696.31,107524,5.031505412197983,3838210036.4399996,4.552623324530551
57321.562,25956358,7.414243755483338,1487858984391.196,4.75831801631599
63576.242,8967006,6.952647460354016,570088543471.452,4.803294853133673
20111.375,10234332,7.010059501304194,205826488726.5,4.303441764007912
29340.473,396326,5.59805256409836,11628392302.198,4.46746711085812
54954.676,1501708,6.1765854943744705,82525876586.608,4.740004651711246
7441.0693,167658798,8.224426348236639,1247560734672.7014,3.871635349218033
15683.885,282111,5.450420020384942,4424596481.235,4.195453649233339
27611.18,9251315,6.966203468593448,255439723701.7,4.441084967180299
61873.965,11570794,7.063363161716405,715930902978.21,4.791507947318624
11677.461,395312,5.5969399978863095,4616240462.832,4.067348425519822
3464.2886,13413371,7.12753793689102,46467788242.8706,3.539614064686701
92276.234,64622,4.810380394961764,5963074793.547999,4.965089861679207
13458.8125,775407,5.8895297172897765,10436057424.1875,4.129006742841276
9454.198,11937318,7.076906763255824,112857767960.964,3.9756246935250674
18544.076,3244869,6.511197168401248,60173097346.04401,4.268205198511291
17961.357,2401410,6.380466314799339,43132582313.37,4.254339144989907
18075.705,209550238,8.321288158426976,3787768284767.7905,4.257095244923072
78248.8,451676,5.654827014748957,35343104988.8,4.893477686060347
29536.678,6877173,6.837409949454768,203128844451.294,4.470361648477698
2486.431,21995205,7.342328014048908,54689559563.355,3.3955764117946505
836.6656,12965439,7.112787226238405,10847736800.1984,2.9225519130788147
6225.5327,16974258,7.22979079894378,105673798237.2366,3.794176518622766
4793.556,26915707,7.430005791997371,129021948784.092,3.680657805317177
55781.7,38454011,7.584941646200264,2145030105398.7,4.746491745666297
7685.4194,516610,5.713162808540329,3970364516.2339997,3.885667572308863
74150.86,70080,4.845594093160024,5196492268.8,4.8701161923312055
1128.5524,5112047,6.708594838058563,5769212910.7628,3.0525217286796433
1700.167,17828225,7.251108106435106,30310959813.574997,3.230491582329066
29105.102,19456275,7.289059696066042,566276868415.0499,4.463969125626037
20406.73,1426437224,9.154252663570873,29108919292117.52,4.309773418398947
17700.06,51188120,7.709169179391636,906032795287.2001,4.247974738543996
3441.2117,818133,5.9128239106039135,2815368851.7560997,3.536711390817305
6263.2114,5892137,6.7702728362107,36903699628.7618,3.7967970705395713
24140.434,5059939,6.704145281242352,122149123473.526,4.382745073636676
6045.2046,29639680,7.471873510542634,179177929878.528,3.7814110041458897
36914.113,3924558,6.593790751789512,144871577487.054,4.567192437330241
25163.994,185279,5.267826198050937,4662359644.326,4.400779572961578
49929.84,1317269,6.11967447145864,65771030406.96,4.698360174362171
49995.703,10530619,7.022453900186735,526485699930.15704,4.698932679464371
1313.6182,99148879,7.996287808335912,130243771963.99779,3.118469156907533
70342.32,5856724,6.767654758243205,411975553759.68005,4.847216687930061
5947.861,1121203,6.049684251130437,6668759596.783,3.774360810616837
15594.285,67176,4.827214140177769,1047561689.16,4.192965467091036
21912.26,11123434,7.046238882301928,243739577900.84,4.3406871723992175
6824.7925,1350102,6.1303665806163075,9214166003.835,3.834089451687164
13539.711,17682398,7.247541161556412,239414558706.978,4.131609394596928
15579.016,110956950,8.045154510282469,1728600099361.2,4.1925400233451535
10809.714,6255737,6.796278482083492,67622727829.218,4.033814203679032
16821.45,1758752,6.245204604309736,29584758830.4,4.225863429027703
45063.543,1331699,6.124406073624548,60011075149.557,4.653825333967029
9846.207,1206548,6.081544604090197,11879921363.436,3.9932689618463204
2588.413,122138537,8.086852713624213,316144976971.781,3.413033572348627
52528.516,447704571,8.650991528490978,23517256721046.637,4.720395131583331
10685.197,916669,5.962212544586056,9794788848.793,4.0287825335402605
57350.87,5541019,6.743589639346154,317782260336.53,4.7585400104383915
53901.11,66083491,7.820092977441706,3561973517575.0103,4.731597708821455
18523.58,2376684,6.3759714424857385,44024696208.72,4.267724925326052
2777.7961,2575965,6.410939957907444,7155505530.7365,3.443700363829668
18915.654,3788400,6.578455827939842,71660063613.59999,4.27682136141946
62950.047,83697031,7.922710052459372,5268732035210.457,4.7989960586985765
6607.503,32518607,7.512131933441997,214866793308.32098,3.820037368986215
33577.51,10579511,7.024465594456294,355233636397.61005,4.526048487116048
68086.46,56026,4.748389616935899,3814612007.9600005,4.833060754615527
15298.123,116645,5.066866127450825,1784449557.335,4.184638148415697
11828.33,17598598,7.245478070932538,208162024681.34,4.072923432457039
3738.8052,13710470,7.137052342820718,51260776530.444,3.572732838042967
2450.978,2058795,6.313613104849627,5046061251.51,3.389339413038499
22865.932,815445,5.911394674141442,18645909919.74,4.359188907628273
3134.9502,11374546,7.055934071383689,35658635257.6092,3.4962306462713664
55581.68,1246785065,9.095791591305368,69298408511609.2,4.744931669532085
6202.981,10289829,7.012408157563844,63827613780.249,3.792600450904158
65884.94,7484547,6.874165519929057,493118930022.18,4.8187861547707564
38648.0,9707794,6.987120552001421,375186822512.0,4.587127024478463
62032.27,372597,5.571239353811188,23113037705.19,4.7926176739657995
8050.0186,1414203840,9.150512012153156,11384367216191.424,3.9057968838297357
